real_name,M10,M100,M110,M115,M120,M130,M15,M182,M20,M200,M210,M220,M27,M295,M305,M310,M34,M345,M35,M40,M410,M50,M500,M510,M520,M530,M540,M550,M560,M570,M580,M90,W10,W15,W17,W20,W25,W255,W257,W260,W270,W275,W280,W30,W310,W320,W40,W50,W55,W57,W70,W85,W290,W300,W305,W60,P17,P25,P65,P97,P105,P145,G10,G110,G115,G12,G120,G125,G130,G135,G140,G150,G160,G165,G175,G20,G60,G65,G80,TR4,TR5,TR6,TR7,YB3,YB4,YB90,B2,BP2,G17,G27,G7,L5,M2,MR17,W7,Y1,Y2,Q10,Q110,Q120,Q130,Q137,Q140,Q145,Q150,Q155,Q165,Q170,Q180,Q190,Q20,Q200,Q205,Q30,Q35,Q40,Q50,Q60,WT15,WT25,WT40,WT45,WT5,WT50,WT60,WT7,WT70,WT80,WT90,WT97,EG10,EG40,EG50
gen=0_training=0,1305.6423174353588,786.5732419227932,1765.1255102956902,2300,815.5691407560377,50,2517.0641827663935,50,1750.7095925814526,1509.7710163184129,654.2023806859969,50,705.2599598887103,725,725,129.01406954575248,1670.703244433925,0,1059.8149475415305,50,1750.012492894926,50,1775.49396619458,1336.9300880689152,680.3593537073078,817.608761549088,411.1228024631331,1170.130436836982,779.085859187101,836.5657088251137,104.00937104933254,177.80415463126113,609.8794732250398,4302.740954201911,6976.411065763119,1093.7038839707122,4419.467167659364,2541.125589716016,4475,200,698.5059880399887,1315,388.6330275877506,904.3758492323581,100,100,1115.460838936428,617.0001031388771,2861.895667381985,500,1580.709742718692,500,100,100,200,1482.2796742590258,400,200,200,400,200,200,389.0739017786672,1469.5656126984125,2914.516469850879,97.09111651919241,1363.9080590125654,2667.7419964334754,466.40694462628903,1179.9029045993068,925.7714201820207,50,50,435.3034376575699,1223.0393686310272,1098.4487771415656,787.8380165888027,2381.574891093904,1342.9427756451637,872.2750862382476,124.51807804769473,315.45398912091935,416.2091534749904,50,50,110,6077.705794760756,1485.0665137636051,2218.8533755469057,3131.4714765962244,5360.5462691620705,483.3038934360462,6093.659944127826,5212.246320761321,1854.2984554165325,5378.539074995182,2754.017868682976,483.4594094993517,57.34253504864557,1693.5577794650778,1002.1179401982234,6580.541141518168,280.58247189545403,200,391.72543113463485,350,500,100,100,150,1747.2587667046794,100,200,266.9571332409317,694.2155318910206,0,1566.8048862452088,387.6266162207003,4580.436492054334,1465.285570803295,497.6404799907431,3607.9802486308427,5225.2403909419045,809.0705829697695,97.34694822037305,6566.091145502417,793.8026548240636,1707.40286562183,1437.7903802858482,3326.48667241362,1642.8950701040455,558.9855996526542,1440.527655598065
gen=0_training=1,780.4523887895025,244.52976981200794,523.4336981008285,2300,868.9315972580289,50,2984.480722817163,50,726.752847278712,1067.0390430338791,954.9194911274506,50,734.2570199626016,725,725,1204.703683630703,1192.1390026939835,0,514.9412601521957,50,746.3198012327283,50,1285.9441701839453,1344.7551767873329,1171.0848981927988,671.2806375956702,1268.9087053889734,494.50475278931935,408.0481197960177,465.55006638799233,1285.1834164789432,805.0929663810158,1080.7689529040658,842.9805867035255,358.8257350706744,350.16837485195595,1315.020999944628,520.3242257707161,4475,200,1494.560372644838,1315,1156.8807914055953,689.3899966742384,100,100,449.4563347578418,195.44796760810115,1520.7754093474875,500,178.82799875060948,500,100,100,200,267.6943214120381,400,200,200,400,200,200,334.2383471963619,1017.6923344229698,687.0017173641352,393.1458022282741,375.75577343306,443.06080368073634,1139.8458470495552,3915.7627525187363,1208.1219869060494,50,50,1560.208460923068,1422.0912466375028,1320.6388786153764,240.350052810278,5484.310979740651,709.1451831026702,741.5423989644777,1168.9334237572969,961.4020417792304,1150.3935755783696,50,50,110,2350.7718266053826,3673.850854160927,2380.751524089477,1532.7762992250432,2690.3950750788113,6551.23102740153,7116.81412251346,3313.651505627897,7132.741300756531,5461.126335826387,4690.187314386838,1688.5201817573766,350.2368220035706,1577.1798745534118,666.4914601673695,5474.173225195348,1788.4680662004744,200,245.54194865838826,350,500,100,100,150,451.74731078631874,100,200,1294.328298131366,2435.132413287688,0,353.0249470377095,850.6894799173028,1153.4371214633213,4705.006161954433,1321.9079593284591,4479.463813351846,1984.4501396455055,235.2970089637003,356.84403330346476,6553.824129147491,955.4353401963863,447.28897439104685,573.162656561381,5004.797523154325,918.8610083412487,68.16892152941163,1221.3195024367558
gen=0_training=2,212.3778672411166,465.76201203648304,1288.4148801744009,2300,301.077005486612,50,2676.6623479521086,50,950.6199958490251,177.29096474798283,1532.1136153717616,50,1219.763337448892,725,725,702.56498012624,703.1861691015383,0,57.926171337086885,50,123.45619897947346,50,623.3980345035584,491.8543943638879,179.5503505755128,1686.8324448094065,971.3162075218622,1697.9122232365116,1078.5242843979725,524.1401495188884,166.95596229324747,201.58460727873458,629.5094096379819,1252.2309455974305,7295.789328778508,1080.5297634680103,1718.4410374495224,870.6028916580944,4475,200,231.06858914924427,1315,1646.2694170894533,12.133872541092531,100,100,728.6515915100254,1277.1021931838272,3438.855855093513,500,708.5174694574783,500,100,100,200,1104.981698097988,400,200,200,400,200,200,1498.9581760476156,1306.3783843217873,1189.5967564294986,1313.2381946909256,183.3986525776665,1344.3072229367574,1557.1022069286803,3741.4415982225073,36.076946541415275,50,50,1407.7257277693407,482.97986787014787,1058.55885395034,1174.6178787223957,2059.4796857819824,1232.3307308644319,526.5482667972514,1047.6206984141265,845.5726426499117,890.1318395521033,50,50,110,3639.1566179454694,4431.774968464753,540.7937302111205,511.9863707724705,2491.4666287112,6168.1739731174075,3198.6950518945346,2179.8390686613075,2887.141454385481,6660.435545609806,3562.639182339736,915.3410183623611,1508.9748997059705,1530.0251303505195,178.90759842294972,5955.9609383330635,1197.2826658006163,200,1043.9212345615992,350,500,100,100,150,1105.7598486957854,100,200,856.6970913161082,299.0813242734165,0,1697.2282799558561,1772.6489859656642,2299.118407317076,2809.5250264825368,742.3693641052519,3335.5366187099617,4846.564051677797,229.76334277923849,356.2302869820411,5719.210977798881,986.5231500903241,722.1123191907444,187.03439400979164,1637.8587820640616,1495.4248398797445,272.2994778835856,988.0600934610742
gen=0_training=3,1590.2796992015824,155.04472137969688,338.2593801046265,2300,1141.3390220492643,50,581.0623750067184,50,683.2078670679216,1505.347699793405,359.0259066524918,50,23.665577930357298,725,725,1266.0664069175227,1064.155560976811,0,1118.216317789728,50,1662.7799521486422,50,860.7805168949021,1390.3048639028264,1760.900013494972,1293.6886441852591,249.49348270140723,1416.9497384899475,1360.7332926304928,1422.1039051080434,653.073307231047,902.3287321106453,77.14793068877572,420.7057978206243,894.5446370368006,1646.377447913201,4142.654255176444,1643.1978463896926,4475,200,753.6705672135682,1315,1571.6177834349337,399.2857423075992,100,100,856.3507598684807,531.3084598163274,1082.344497003707,500,1210.461607860207,500,100,100,200,99.89886541335561,400,200,200,400,200,200,1707.5119290350037,1230.0654264054197,649.6123462795559,237.92660749527403,345.68920339191897,555.1988104272391,1769.594152819813,820.9569244353953,1573.5407077554196,50,50,1120.3972127783704,755.3589605559278,843.3545639614731,624.7223640018269,3880.0202219647776,769.3256797493156,1529.671344193506,425.1082536984898,790.6367923356839,1796.8094159648604,50,50,110,3166.9974017755826,4341.128197306565,7024.433024748268,6817.458676828916,4615.240647449584,4498.590795862916,4682.134350235675,5825.358866679226,4037.165790491137,5738.245604425058,511.75214013889,743.8025369825092,1554.7065662988916,1132.865996107317,1585.1771893094526,3440.4909465910314,607.4799512421314,200,598.0270315701449,350,500,100,100,150,1390.5457299019035,100,200,1207.6670119880773,886.2149460450048,0,731.9086940405823,1291.32534329971,5066.3383833842145,4950.08381498828,381.3636400719249,3912.0921276211384,2926.8789536845566,21.614373509358437,870.5374307344747,813.8143096663142,1722.3129345345171,706.1143066827829,1343.7911062465091,546.4383594597308,812.0948545021719,963.3741765157602,398.6762241723911
gen=0_training=4,979.8521408258711,887.6445432613019,1079.6239700803774,2300,1504.8179682493726,50,4843.744265699847,50,809.6095149566063,1770.3351272620312,1493.0857664182583,50,1304.154964242092,725,725,496.06905680451604,1150.1795920069135,0,1053.5012213321622,50,135.88133987076944,50,1124.1231392707464,964.6257481674253,550.4312511792751,1770.2774928374588,1689.971908083392,1274.151432186132,696.0940278299905,1631.1247456678439,1155.5667625701735,389.03666940446044,1384.143287482514,1848.2583597751468,6766.1493914398625,1684.9988666118684,463.40191712843506,1853.286840706292,4475,200,815.0871500712602,1315,769.8679769055941,1059.1957513986138,100,100,1665.2122967395553,1187.6356756894966,4122.748334034936,500,1129.5113991949459,500,100,100,200,1722.4677464366066,400,200,200,400,200,200,837.6132708911398,1114.5398114622592,1703.8900672091693,664.8100187778817,316.2186385111257,4946.769812734396,688.0054458859273,274.02179743564267,590.78785516759,50,50,1760.3396238778098,1634.8626859813783,599.5598408456754,615.0360620469872,4451.756875974011,888.4119378281404,697.2178200997198,728.6532338169333,725.6448675868097,907.4109075806886,50,50,110,6702.073086247188,3513.1607330080838,3625.664115848925,5467.756229606745,7277.009746138994,1316.420494608138,3388.1622214750423,4478.2733261097965,2320.390523286016,34.366283056578396,1265.721575324195,1470.585453797863,1496.3194311923774,296.2327211763868,1588.2368790686678,4063.833874589386,514.7268371067872,200,1435.1243293594423,350,500,100,100,150,1455.6878167006703,100,200,710.4995066050835,5400.44173936635,0,133.98954313509262,6.971247573234163,1688.0756716403957,3516.7786357201962,1092.6605093379071,3176.013793415095,2748.595052501048,1146.0483909807776,1404.2508682015944,4379.162683915443,570.6368448371107,1785.0995331186177,1591.420719019071,5168.285158618281,1508.3923015419864,705.6177994102346,906.0300128897592
gen=0_training=5,62.97925261457495,1239.3406068718496,671.5394151729192,2300,210.2298053780918,50,5308.108203815347,50,340.5949902255285,1416.4416815884745,724.2236073519417,50,508.79432181157637,725,725,837.9431803835002,479.23570023726893,0,1077.7267696748604,50,1302.262901506164,50,1782.9530718892174,884.802404113313,790.7575438179703,766.5645623167114,829.815039284708,90.07347862573474,1500.3272566463445,21.910248362906447,53.81781287711214,1099.6921103994164,729.3108579067638,187.37610018837623,3940.048055862111,948.0485668671629,3388.4390853768446,2304.7385432742362,4475,200,1325.1982587846726,1315,1636.6727055252427,451.77233621789975,100,100,1182.859669634689,411.517937372298,1965.4681002482253,500,1712.4060411371938,500,100,100,200,16.747822505350154,400,200,200,400,200,200,1776.2214957918645,1258.7749599303654,3574.7219854480695,389.82183028515465,1297.138046479022,2799.533693218413,737.5782661761364,5352.5450122532275,1023.867982792584,50,50,1691.4111493602393,804.5883058059856,1653.905682219691,1485.0208154046181,290.6273976740494,1660.4713829960376,809.455264222981,760.5323051535593,1702.1118420605567,144.76038456278349,50,50,110,3892.7806101341407,5840.681482215256,6976.257223200776,5591.502433147433,3750.8163058918926,3226.4386325622895,4406.622349237604,1682.9653789691567,3055.591501040224,693.1371090125457,3484.134315837844,1479.0671722640059,817.7548815056255,410.53167725402017,1468.3188349673962,6682.705774377198,698.5140672448199,200,1331.927160102093,350,500,100,100,150,845.4867548626494,100,200,192.7209883413205,953.3456169905083,0,1182.436477049172,1578.4164769881197,4216.300371372265,2843.2142492272433,713.5770154335193,2324.5807579178118,479.70299038427993,586.2281196380272,457.0831838549534,357.9309432656829,1425.5687179395863,114.57045093035438,833.8198303746168,6013.143419469437,27.942230964259828,395.06354799345854,971.8676204056707
gen=0_training=6,1640.2528390324662,1686.9187792263363,1173.3259090264314,2300,187.0460928692107,50,4345.596395828848,50,204.63192796563825,447.02474951593115,154.4270667982423,50,1566.7678304876645,725,725,672.369276818309,1346.1197940439938,0,1247.5173718651083,50,1229.628956644893,50,1139.2441110380275,226.0477172120134,1792.3508926767802,1120.06740116374,1705.519676051074,679.4951740375302,1733.2811660055575,1015.8771810974566,926.8827177967062,1423.2872490454236,1628.534484449617,248.01059345523052,1907.3375980203184,1031.270274580826,5180.5270030981765,469.2748620376814,4475,200,675.9349776232943,1315,1735.6023263701004,1552.1000026745548,100,100,1727.4549281190937,1552.1631764363449,1869.1593447658263,500,1269.318983495759,500,100,100,200,350.6520842656344,400,200,200,400,200,200,1060.4162124853315,1479.232729717651,4406.981608129041,658.3580345662633,1559.0633959416098,3410.129769691366,1517.2261444387507,831.8618235090964,1795.739995791479,50,50,944.1321006693702,227.20640273081722,72.32313567733063,868.9488858179564,1093.3777212970915,1724.5352514826977,206.70046199563146,89.82681641869003,187.23259312925305,386.9531487655831,50,50,110,2006.6456370809135,6338.465543581507,5770.580975684463,3431.6085265537654,6443.904067128747,4840.888843119194,4740.619445363839,3224.5767541119285,5694.2944283129145,4778.960319396781,5033.914734046106,229.72732271819035,1211.2022264177426,1481.9079431564376,430.1719635899772,2250.196661759304,1519.7876623619952,200,1165.1281998127638,350,500,100,100,150,977.5541468828274,100,200,1467.5104627133162,1312.2535447206178,0,955.6507266549403,1387.343068329037,840.1373681366002,5420.79175624639,897.2514131556802,964.2696946504094,4608.024556745683,1695.287947779731,410.1451815188766,6135.778355030198,144.4422839383189,1299.9560429940561,1269.81068775616,4527.809303838694,540.1993387826353,1053.4184817688094,388.79591312135267
gen=0_training=7,730.8167886818462,0.9193294886618506,507.39164478566005,2300,529.1713770821568,50,5201.159679768092,50,1209.1017860705663,400.1590424309385,778.6781788833741,50,680.8308182988312,725,725,1097.682873178896,465.43939064901616,0,1499.5315722108535,50,738.3163328628104,50,1404.3835041546217,525.7843472355498,1173.7618346266588,1180.2282126164596,1161.713613654391,596.7624614553356,930.4067431852867,908.8218024675605,909.9212970637443,39.06895450026073,35.138576964648905,2646.087117971092,6628.063045451152,649.7810004851368,1150.761335835271,4040.7141360357396,4475,200,1234.9773889653397,1315,626.8494660505535,1119.9465196809938,100,100,1768.3980403790688,1458.9721341801815,5192.278942657644,500,1234.455961159705,500,100,100,200,776.4233841312038,400,200,200,400,200,200,1541.7065697784287,1641.6804674386149,4552.383448727124,646.9723669767292,846.1346984031693,1936.8728322345012,924.4856865471912,1597.3160055142432,1525.081680240258,50,50,1794.8309665789002,1141.914930620913,987.6526316844717,1232.099071734538,3411.7944323939873,18.279295713686267,1302.7453630719017,502.6141322115496,731.7771173289601,589.4007454247558,50,50,110,3874.232235743841,1711.4265994470745,152.1208526540584,3190.215432816161,3889.643422734592,5621.716262457205,6955.8599315101455,6714.236963534907,3275.090001130458,7266.5935400395765,4496.29523413596,93.08510943846896,1659.4387760532697,1082.0419757048182,295.34174465277084,2204.1585998203504,1748.0444554450498,200,1312.4412094868717,350,500,100,100,150,876.7810548688491,100,200,1647.2535653485745,2076.428504705106,0,1460.7304278465087,936.3129758521328,189.15417893269284,3609.979036508961,1154.05411571269,4953.609525310591,719.6239057435605,854.991970295027,1547.8153209697941,2869.9372646041584,335.02695435105943,1126.9926385005829,197.1838059558191,6983.858195357485,155.02337414666388,231.77840958259813,618.4109373054806
gen=0_training=8,253.81440158176497,1160.2482011652462,667.4369837638847,2300,368.34773020787844,50,3820.254963436161,50,1697.8010350309921,1115.6874412118732,1436.605510987653,50,1763.909136791284,725,725,882.6518096728663,1640.6844957094784,0,1396.847310512921,50,183.93892156147675,50,358.1273949992217,738.3553573684894,1311.8760578806223,1235.1810016504853,53.75730530057956,1489.7843992795842,1010.7250820084538,1485.7921209394035,1479.5746799994774,756.600675749177,787.3443650740637,5183.363926140557,5079.134050717687,1406.9072390542278,2469.2105042041862,455.7602317886102,4475,200,590.3811755291491,1315,1126.2026803228691,474.7424616016231,100,100,1700.9574672734927,590.3299437649514,5279.6555307093795,500,986.0670706568825,500,100,100,200,789.1123490680434,400,200,200,400,200,200,440.28314642780526,375.55953034614623,1645.0718731117363,100.33871850264268,1078.1132696703517,3690.1668637289554,492.06406502990046,759.5060436037335,418.03118011417075,50,50,606.9264845103829,577.1936562025192,855.2574304585204,213.61596182260143,128.33901465309864,945.5446274000983,1319.9383762915788,603.0616667895955,510.34350861701716,36.92342125696175,50,50,110,5602.348160977122,3929.8919685289775,6685.865494968094,715.9609650625763,528.380310328571,4719.565121669352,256.1144643843938,5601.081066084251,4441.478793999479,6417.911287859757,6740.858740274519,392.71299944732255,20.369408502930465,803.5851947840544,1052.3198583915141,1876.2244783857984,1398.25279258325,200,242.51539146501256,350,500,100,100,150,480.11891062927816,100,200,319.7491800714258,1073.758563545152,0,21.994744597591293,1606.8739323813768,2228.647000469975,1866.212514356699,1045.9300028941752,2588.2607434601014,3101.986131804218,328.43286849593875,1564.3912401928985,469.2546703579254,544.669047639075,1140.5601008158646,1329.6437636336211,3564.820040445129,754.1047579266492,766.2016878286488,205.87985890858957
gen=0_training=9,815.1663011394918,1397.160783307071,67.81629215521171,2300,154.107149409441,50,3488.941722039994,50,1237.4143211997082,601.0697970104885,339.96595816299924,50,618.0705590968811,725,725,1304.4991904892972,207.71250465010158,0,703.1447584525256,50,1573.5052860809155,50,1467.9410020177975,911.5199973582659,1035.2416670899775,1129.1158298523562,80.6419471180502,1361.674712227148,598.9924528220581,955.8945889184267,657.5035809310793,1013.0392951219061,516.7127206990011,2925.218916666237,1939.3632945971751,1782.951905065701,1171.1148388862741,3828.4154443354487,4475,200,807.6065408264117,1315,1325.6253746369532,429.1378295581133,100,100,990.4686285382159,399.72376416974197,1448.1969330709026,500,102.51956153449164,500,100,100,200,637.1390962866218,400,200,200,400,200,200,948.2871410005862,1726.444613196344,2182.4509173753336,955.5577251929371,1433.1265896172001,1336.9140330957694,668.3589057323417,3807.7423850347855,667.6930613609996,50,50,570.6491173132501,985.7587128888932,1255.9766838676865,1475.3738217729074,4057.983726146414,766.6515800351724,259.56681664648414,408.16064589568794,940.9494466931969,537.4073691487198,50,50,110,428.0753546880031,6744.976599129385,3426.090676949308,5713.52958438346,6606.685445828849,2433.195771354246,1962.4054861563893,96.58505574230011,6126.138499411389,5862.520586515502,2371.390475304169,1132.1931747950584,957.4285468425956,1642.6289986998843,33.73771643392039,5164.354465946975,763.9763527963202,200,1208.1549522298326,350,500,100,100,150,43.89329967451425,100,200,1639.1823706388466,4146.703571002949,0,189.32678993524348,1574.0199648852486,5016.93503828505,2391.3121519709507,1732.7319188720007,5289.224173321186,2192.752372624394,511.11035897130364,370.9601475444265,3761.5122628257727,19.40032929360653,1316.771999990065,659.1561816260609,2315.8493922197167,299.08262191606013,1286.484745130892,230.45940037686904
